ID,CURS_ID,TEXT,RASPUNS1,RASPUNS2,RASPUNS3,RASPUNS4,RASPUNS_CORECT
1,1,What is encapsulation in OOP?,A process of converting objects into primitive data types.,A mechanism that binds data and functions that manipulate the data into a single unit.,A way to create multiple instances of a class.,The process of arranging data in a sequential order.,A mechanism that binds data and functions that manipulate the data into a single unit.
2,1,What is the purpose of inheritance in OOP?,To hide the internal details of an object and show only the necessary features.,To allow a class to have multiple methods with the same name but different parameters.,To reuse code and extend the functionality of an existing class.,To restrict access to certain class members.,To reuse code and extend the functionality of an existing class.
3,1,What is polymorphism in OOP?,A mechanism to prevent multiple instances of a class., The ability of a class to inherit properties and behaviors from another class.,A feature that allows a class to have multiple methods with the same name but different implementations.,The process of creating multiple objects from a single class.,A feature that allows a class to have multiple methods with the same name but different implementations.
4,1,Which OOP principle promotes the idea of separating the interface from the implementation?,Encapsulation.,Inheritance,Abstraction,Polymorphism,Abstraction
5,1,What is a class in OOP?,A blueprint or template for creating objects.,A collection of unrelated functions.,A set of predefined data types.,A mechanism to restrict access to certain data.,A blueprint or template for creating objects.
6,2,What does SQL stand for?,Simple Query Language,Structured Question Language,Standard Query Language,Systematic Query Logic,Standard Query Language
7,2,Which SQL clause is used to filter the results of a query based on a specified condition?,GROUP BY,HAVING,WHERE,ORDER BY,WHERE
8,2,What is the purpose of the SQL JOIN operation?,To combine rows from two or more tables based on a related column between them.,To sort the result set in ascending or descending order.,To perform mathematical operations on numeric columns.,To create a copy of an existing table.,To combine rows from two or more tables based on a related column between them.
9,2,Which SQL statement is used to insert new data into a database table?,ADD,INSERT,UPDATE,MODIFY,INSERT
10,2,What is the purpose of the SQL SELECT statement?,To modify existing records in a table.,To retrieve data from one or more tables in a database.,To delete records from a table.,To create a new table in the database.,To retrieve data from one or more tables in a database.
11,3,What is the primary purpose of an operating system?,To provide hardware components.,To manage computer hardware and software resources.,To execute application programs.,To store and retrieve data.,To manage computer hardware and software resources.
12,3,Which component of the operating system is responsible for managing memory resources?,Device Manager,File System,Memory Manager,Task Scheduler,Memory Manager
13,3,What is the purpose of a file system in an operating system?,To manage network connections.,To control input/output devices.,To organize and store data on storage devices.,To schedule tasks and processes.,To organize and store data on storage devices.
14,3,Which scheduling algorithm in operating systems assigns priority levels to tasks and executes the task with the highest priority first?,First-Come-First-Serve (FCFS),Round Robin,Priority Scheduling,Shortest Job Next (SJN),Priority Scheduling
15,3,What is the purpose of the device driver in an operating system?,To manage memory allocation.,To translate high-level programming instructions into machine code.,To control communication between the operating system and hardware devices.,To organize files and directories.,To control communication between the operating system and hardware devices.
16,4,What is the purpose of a data structure in computer science?,To perform mathematical calculations.,To manage and organize data for efficient storage and retrieval.,To create graphical user interfaces.,To control the flow of program execution.,To manage and organize data for efficient storage and retrieval.
17,4,"Which data structure follows the Last In, First Out (LIFO) principle?",Queue,Linked List,Stack,Tree,Stack
18,4,What is the time complexity of an algorithm that has a linear execution time?,O(1),O(log n),O(n),O(n^2),O(n)
19,4,Which sorting algorithm has an average-case time complexity of O(n log n)?,Bubble Sort,Insertion Sort,Merge Sort,Selection Sort,Merge Sort
20,4,"What is the purpose of the ""hashing"" technique in data structures?",To rearrange data elements in ascending order.,To search for an element in a sorted list.,"To convert a data element into a fixed-size value, usually for fast retrieval.",To create a connected network of nodes.,"To convert a data element into a fixed-size value, usually for fast retrieval."
21,5,What does HTML stand for in the context of web development?,HyperText Markup Language,High-Level Text Language,HyperTransfer Markup Language,Hyperlink and Text Management Language,HyperText Markup Language
22,5,Which programming language is commonly used for client-side scripting in web development?,Python,Java,JavaScript,PHP,JavaScript
23,5,What is the purpose of CSS (Cascading Style Sheets) in web development?,To define the structure and content of a web page.,To create interactive and dynamic elements on a web page.,To style and format the presentation of HTML elements.,To handle server-side logic and database operations.,To style and format the presentation of HTML elements.
24,5,Which protocol is used for secure data transmission over the web?,FTP (File Transfer Protocol),HTTP (Hypertext Transfer Protocol),SMTP (Simple Mail Transfer Protocol),HTTPS (Hypertext Transfer Protocol Secure),HTTPS (Hypertext Transfer Protocol Secure)
25,5,"What is the purpose of a ""responsive design"" in web development?",To create visually appealing graphics and images.,To optimize a website for search engines.,To ensure that a website looks and functions well on various devices and screen sizes.,To manage server-side communication.,To ensure that a website looks and functions well on various devices and screen sizes.